WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       FFDC       NFDC       RHOB       DRHO        NPHI       FCNL       NCNL        TENS       
M          GAPI       IN         CPS        CPS        G/CC       G/CC        %LS        CPS        CPS         LB         
4011.979   49.0000    9.05000    374.300    603.2999   2.655000   0.195000    5.83000    469.5000   574.4000    4365.000   
4011.827   45.9000    9.00000    359.900    543.2999   2.622000   0.127000    5.66000    477.6000   607.5000    4379.000   
4011.674   43.6000    8.94000    343.300    500.6000   2.578000   0.069000    6.00000    440.8000   600.0000    4370.000   
4011.521   43.2000    8.92000    334.300    484.6000   2.534000   0.038000    6.87000    436.8000   582.9000    4344.000   
4011.369   43.2000    8.92000    337.200    482.3000   2.500000   0.025000    8.03000    406.3000   570.5000    4303.000   
4011.217   42.5000    8.92000    346.100    480.5000   2.474000   0.017000    9.11000    388.4000   543.6000    4294.000   
4011.064   40.7000    8.91000    353.900    480.0000   2.454000   0.014000    9.87000    372.3000   522.9000    4294.000   
4010.912   39.6000    8.92000    360.300    489.5000   2.439000   0.026000    10.04000   390.6000   498.9000    4254.000   
4010.760   40.5000    8.91000    368.700    508.2000   2.438000   0.048000    9.46000    417.8000   512.6000    4275.000   
4010.607   42.4000    8.90000    376.000    521.1000   2.454000   0.067000    8.23000    429.4000   580.0000    4297.000   
4010.455   45.0000    8.89000    371.100    515.4000   2.482000   0.070000    6.88000    502.1000   604.2000    4336.000   
4010.303   49.9000    8.88000    351.300    495.4000   2.513000   0.056000    6.08000    520.0000   626.5000    4351.000   
4010.150   61.0000    8.86000    326.900    476.5000   2.536000   0.039000    6.42000    393.6000   600.0000    4348.000   
4009.998   74.0000    8.88000    310.100    467.0000   2.550000   0.028000    8.38000    287.3000   549.4000    4324.000   
4009.845   76.5000    8.86000    300.400    462.3000   2.562000   0.025000    12.09000   256.8000   466.3000    4340.000   
4009.693   63.2000    8.86000    289.700    459.1000   2.578000   0.025000    16.14000   270.5000   473.6000    4313.000   
4009.541   42.7000    8.85000    280.600    457.8000   2.593000   0.024000    18.07000   282.1000   446.8000    4334.000   
4009.388   28.2000    8.85000    279.800    460.5000   2.594000   0.027000    17.16000   286.1000   461.0000    4307.000   
