Rock Code Depth(m) RHOB GR SP DT
Conglomerate 42.0 2600.0 2.3299283158498314 26.292477148582265 -47.22069469420581 135.124610348546
Conglomerate 42.0 2610.0 2.4508901006877144 14.078768641498876 -30.688666204624077 103.17575978016058
Conglomerate 42.0 2620.0 2.222746806167505 9.857229277038847 -37.16844134364376 90.35575838990316
Conglomerate 42.0 2630.0 2.3316235770144407 24.44086127019198 -55.61501065537526 104.89975820935793
Conglomerate 42.0 2640.0 2.1486255281659066 21.20714535173146 -25.758882196195092 124.96181810027494
Conglomerate 42.0 2650.0 2.3284485478175463 15.163800228411295 -42.109245771843696 69.37008930352877
Conglomerate 42.0 2660.0 2.3563708622434585 28.04898399857773 -34.630558616501546 132.1879130709502
Conglomerate 42.0 2670.0 2.169693929901226 26.792561521640202 -51.63909116874626 176.4257952468821
Conglomerate 42.0 2680.0 2.6280164894162383 20.453351883772225 -40.6891661231705 64.90015571368076
Conglomerate 42.0 2690.0 2.4227692306365336 31.671505720302157 -26.518086700219808 103.90364787989931
Conglomerate 42.0 2700.0 2.331397988826733 22.35193715055332 -29.568285874866753 144.90538882063396
Conglomerate 42.0 2710.0 2.2112671358363816 16.465242082164913 -42.65641271843214 135.8253957826165
Conglomerate 42.0 2720.0 2.2756806210644074 21.423186322171837 -32.65938424914242 94.47523254449189
Conglomerate 42.0 2730.0 2.183809899908065 20.296496557873613 -35.1834502563373 82.78849705022003
